Name,LivePerson,Website
Mesalands Community College,403,https://www.mesalands.edu/
New Mexico Junior College,,https://www.nmjc.edu/resource_service/student_support_services/index.aspx
San Juan College,,https://www.sanjuancollege.edu/
Santa Fe Community College,,https://www.sfcc.edu/service-desk/
Doña Ana Community College,,https://dacc.nmsu.edu/
Southwestern Indian Polytechnic Institute,,https://www.sipi.edu/apps/news/article/1199575
Carrington College,403,https://carrington.edu/contact-us/
New Mexico Military Institute,,https://www.nmmi.edu/homepage/
Southwestern College,,https://www.swccd.edu/about-swc/get-in-touch/index.aspx
Pima Medical Institute,403,https://pmi.edu/contact-us/
Southwest Acupuncture College[5],,https://acupuncturecollege.edu/
Burrell College of Osteopathic Medicine,,https://burrell.edu/students/
Trinity Southwest University,403,https://trinitysouthwest.com/
Southern Methodist University,,https://www.smu.edu/oit/help
American College of Healthcare Sciences,403,https://achs.edu/contact/
Portland Bible College,403,https://portlandbiblecollege.org/campus-services/
Bushnell University,,https://www.bushnell.edu/life-at-bushnell/wellness-safety/counseling-center/
Blue Mountain Community College,,https://www.bluecc.edu/support-services/support/it-help-desk-and-support
Central Oregon Community College,,https://www.cocc.edu/departments/its/student-tech-support/default.aspx
Chemeketa Community College,,https://online.chemeketa.edu/support/
Clackamas Community College,,https://www.clackamas.edu/about-us/contact
Clatsop Community College,,https://www.clatsopcc.edu/services/support-services/
Columbia Gorge Community College,,https://www.cgcc.edu/support
Corban University,,https://www.corban.edu/cli/support/
Eastern Oregon University,,https://online.eou.edu/online-student-life/support-team/
George Fox University,,https://www.georgefox.edu/college-admissions/contact/chat-current-student.html
Gutenberg College,403,https://gutenberg.edu/admissions/
Lane Community College,ERROR,
Lewis & Clark College,,https://en.wikipedia.org/wiki/Lewis_(TV_series)
Linfield University,,https://www.linfield.edu/contact-us.html
Linn–Benton Community College,,https://www.linnbenton.edu/student-services/library-tutoring-testing/library/help-desk.php
Mount Angel Seminary,,https://www.mountangelabbey.org/seminary/
Mt. Hood Community College,,https://www.mhcc.edu/OCChat/
Multnomah University,,https://www.multnomah.edu/athletic-field-livestream/
National University of Natural Medicine,,https://nunm.edu/connect/
New Hope Christian College,403,https://www.newhope.edu/online/
Oregon Coast Community College,,https://oregoncoast.edu/keep-learning/
Oregon College of Oriental Medicine,,https://www.ocom.edu/
